path,icm_role,proposed_action,target,candidate_referrers,reason,sha256
.gitignore,factory,Keep,.gitignore,,"Source, test, asset, or build input",44c92e3a70ad3307b7056871c2bdb096d8bfa9373f5bf06a79bb6324a20ff2fb
Cargo.lock,factory,Keep,Cargo.lock,,"Source, test, asset, or build input",dfdc9ce6a573707f3fb8970380ddde9fad0e80e985454ca7e3ac1ae1be4d2220
Cargo.toml,factory,Keep,Cargo.toml,docs/plans/winamp-skins.md,"Source, test, asset, or build input",89682f8e1e3bd45fb5119826a84e869d28682d1db23619eda74bf38fdfa56c0f
LICENSE,factory,Keep,LICENSE,README.md,"Source, test, asset, or build input",3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986
README.md,catalog,Keep,README.md,,Keep user guide. Route developer tasks from new entry files.,78fe71b0ed715c2775c29fcba3cef5bf99a071ee87f7529446c50c07ce7991fd
THIRD_PARTY.md,factory,Keep,THIRD_PARTY.md,docs/plans/winamp-skins.md,"Source, test, asset, or build input",85c0e835c9f06c2dbfd89c835b435c82efd3bf045dfd16757a597b2ccae33e6a
assets/fonts/InterVariable.ttf,factory,Keep,assets/fonts/InterVariable.ttf,THIRD_PARTY.md | src/ui/winamp/pixel_text.rs,"Source, test, asset, or build input",4989b125924991b90d05b2d16e0e388c48f7d5bb8b30539bbf9c755278d0ccaf
assets/fonts/NotoSansJP-OFL.txt,factory,Keep,assets/fonts/NotoSansJP-OFL.txt,THIRD_PARTY.md,"Source, test, asset, or build input",1c05c68c34f9708415aada51f17e1b0092d2cea709bf4a94cd38114f9e73d7d9
assets/fonts/NotoSansJP.ttf,factory,Keep,assets/fonts/NotoSansJP.ttf,THIRD_PARTY.md | src/fonts.rs,"Source, test, asset, or build input",c2f3b4d463500a2ddcd3849cded1fceeb9fd6d1c32e6cbecd568453ba50fc68f
assets/fonts/OFL.txt,factory,Keep,assets/fonts/OFL.txt,THIRD_PARTY.md,"Source, test, asset, or build input",262481e844521b326f5ecd053e59b98c8b2da78c8ee1bdbb6e8174305e54935a
assets/skins/builtin.wsz,factory,Keep,assets/skins/builtin.wsz,THIRD_PARTY.md | examples/default_skin.rs | src/skin/mod.rs,"Source, test, asset, or build input",a6c44fcabd5ca0678c8fc748e391fac5008768fbdb4e0f73d87538982b32b727
